"DScore","WLoc","NumOT","Poss","Pace","Conf_Tour","DFGM","DFGA","DFGM3","DFGA3","DFTM","DFTA","DOR","DDR","DAst","DTO","DStl","DBlk","DPF","DFG.P","DFG3.P","DFT.P","DEFG.P","DTO.P","DOR.P","DDR.P","DFT.R","DORtg","DDRtg","DFTA.R","D3PA.R","DTS.P"
11,"H",0,66.7625,66.7625,0,9,13,2,6,-9,-9,-6,-8,7,-12,6,4,1,0.067622950819672,0,-0.075,0.072916666666667,-0.156116242068405,-0.19047619047619,-0.19047619047619,-0.24077868852459,16.4763152967609,-16.4763152967609,-0.254098360655738,0.031762295081967,0.0138942946282391
9,"H",0,76.95,76.95,0,2,-14,-1,-14,6,8,-9,7,3,0,-2,-1,-1,0.127650273224044,0.131313131313131,-0.025641025641025,0.134754098360656,0.0102698426351005,-0.147563486616335,-0.147563486616335,0.144262295081967,11.695906432748,-11.695906432748,0.186229508196721,-0.119344262295082,0.13375040844724
22,"H",0,72.125,72.125,0,3,-5,4,-3,12,12,-2,7,5,-3,3,1,-5,0.085196224540487,0.288235294117647,0.126984126984127,0.121708892200695,-0.028664750775116,0.056410256410257,0.056410256410257,0.20541480377546,30.5025996533796,-30.5025996533796,0.207898658718331,-0.024341778440139,0.150001961047457
4,"H",0,62.7375,62.7375,0,-4,-3,-7,-12,19,19,7,6,-6,2,-2,-2,-9,-0.056372549019608,-0.278195488721804,0.287878787878788,-0.12438725490196,0.012051072645061,0.208333333333333,0.208333333333333,0.403186274509804,6.3757720661486,-6.3757720661486,0.409313725490196,-0.22671568627451,-0.017792825369955
11,"A",0,72.275,72.275,0,-3,-27,2,-3,15,24,-13,5,1,1,-1,5,-12,0.1325,0.105990783410139,-0.0817790530846481,0.190833333333334,0.036095069467245,-0.167654986522911,-0.167654986522911,0.41,15.219647180906,-15.219647180906,0.6275,0.17,0.185873726150176
21,"A",0,62.7,62.7,0,12,14,-4,-7,1,4,6,2,5,-10,5,2,0,0.113768115942029,-0.111336032388664,-0.128571428571429,0.06268115942029,-0.1540306711676,0.152560083594566,0.152560083594566,-0.018840579710145,33.492822966507,-33.492822966507,0.015942028985507,-0.248550724637681,0.044723003410951
11,"A",0,75.95,75.95,0,6,-3,-3,-9,2,2,-2,5,6,-2,-2,0,-2,0.117571721311475,0,0.020703933747412,0.096439549180328,-0.018247794500083,-0.018181818181818,-0.018181818181818,0.045081967213115,14.4832126398951,-14.4832126398951,0.048924180327869,-0.126793032786885,0.090916961185324
8,"H",0,72.875,72.875,0,2,0,0,-1,4,10,0,1,7,-4,4,-4,-1,0.029850746268657,0.015789473684211,-0.1,0.029850746268657,-0.045971311835288,0.00808080808080797,0.00808080808080802,0.059701492537313,10.977701543739,-10.977701543739,0.149253731343284,-0.014925373134328,0.0201910507792861
14,"A",0,64.625,64.625,0,0,-6,3,-4,11,14,2,9,2,1,3,2,-4,0.046296296296297,0.180952380952381,0.102272727272727,0.083333333333333,0.010634708981419,0.110810810810811,0.110810810810811,0.24074074074074,21.6634429400387,-21.6634429400387,0.310185185185185,-0.025462962962963,0.114950524063095
8,"A",0,66.1875,66.1875,0,-2,-7,7,8,5,3,-3,2,2,3,-5,3,-6,0.017857142857142,0.304347826086957,0.113095238095238,0.080357142857142,0.0424235239861388,-0.039074960127592,-0.039074960127592,0.121031746031746,12.086874409821,-12.086874409821,0.095238095238096,0.172619047619048,0.099018707882359
27,"H",0,74.4125,74.4125,0,11,-1,3,-3,2,3,3,14,9,2,-2,2,-1,0.163768115942029,0.13030303030303,0,0.186542443064183,0.0213076262683724,0.118137254901961,0.118137254901961,0.03064182194617,36.2842264404504,-36.2842264404504,0.045962732919255,-0.036645962732919,0.175127382525004
36,"H",0,68,68,0,10,-2,2,-4,14,18,5,16,9,-4,-1,10,-6,0.198970840480274,0.125,0.25705329153605,0.218867924528302,-0.057603357125941,0.183006535947713,0.183006535947712,0.266895368782161,52.9411764705886,-52.9411764705886,0.347169811320755,-0.059005145797598,0.239430352824854
16,"H",0,66.475,66.475,0,4,-2,3,3,5,4,-2,2,10,-1,-2,6,-2,0.094709581945985,0.083333333333334,0.107551487414188,0.126711061783204,-0.010711389267188,-0.031372549019608,-0.0313725490196081,0.10691823899371,24.0691989469726,-24.0691989469726,0.092489826119127,0.074361820199778,0.130008655202225
8,"H",0,74.5375,74.5375,0,-4,-3,-3,-6,19,23,3,-1,-1,-6,-2,0,-15,-0.047368421052631,-0.053708439897698,0.136764705882353,-0.070175438596491,-0.0749690055997932,0.054713249835201,0.054713249835201,0.342105263157894,10.7328525909782,-10.7328525909782,0.418421052631579,-0.085087719298245,-0.000980922743877954
8,"A",2,79.4375,63.55,0,5,-20,5,-2,-7,-7,-16,8,6,6,-1,-3,3,0.226666666666667,0.293233082706767,-0.053639846743295,0.286666666666667,0.0902939855751376,-0.248163265306122,-0.248163265306122,0.00848484848484898,10.070810385523,-10.070810385523,0.047272727272727,0.065454545454545,0.223868844850022
10,"A",0,75.3625,75.3625,0,7,4,-6,-17,2,7,9,10,0,1,2,0,2,0.086206896551724,0.002304147465438,-0.201754385964912,0.031701890989989,-0.00721927752704701,0.26031746031746,0.26031746031746,0.021134593993326,13.2691988721182,-13.2691988721182,0.099555061179088,-0.308676307007787,0.01454094756252
15,"H",0,54.575,54.575,0,4,-9,-5,-19,12,18,5,12,1,5,-3,4,-7,0.16780487804878,0.120879120879121,0.115384615384615,0.124390243902439,0.066762501141116,0.235714285714285,0.235714285714285,0.310243902439024,27.4851122308748,-27.4851122308748,0.474146341463415,-0.349268292682927,0.144030269351236
11,"A",0,78.4,78.4,0,3,6,0,3,5,4,5,2,-8,-1,0,4,3,0.012096774193548,-0.045150501672241,0.0804195804195811,0.00432027649769601,-0.02752372061192,0.106546854942233,0.106546854942233,0.052995391705069,14.0306122448979,-14.0306122448979,0.026497695852534,0.00864055299539102,0.020407615942128
6,"A",1,78.9875,70.2111111111111,0,2,-1,2,-5,0,1,-2,1,-1,-2,6,-2,-3,0.043831168831169,0.132996632996633,-0.02258064516129,0.062824675324675,-0.018911599618742,-0.043609022556391,-0.043609022556391,0.006818181818182,7.59613862953,-7.59613862953,0.027922077922078,-0.082142857142857,0.04688474931384
9,"A",0,72.2125,72.2125,0,0,-11,-3,-8,12,13,-2,6,0,3,-6,-2,-11,0.067155067155068,-0.107246376811594,0.088095238095238,0.04502442002442,0.042504295923487,-0.015151515151515,-0.015151515151515,0.267704517704517,12.4632162021811,-12.4632162021811,0.3003663003663,-0.076617826617827,0.097889079061946
6,"A",0,71.0875,71.0875,0,-5,-6,-1,-3,17,19,-3,-2,-3,-4,3,-5,-4,-0.045265475899193,0.002941176470588,0.068627450980392,-0.048323954000489,-0.0451927061193723,-0.060101010101011,-0.060101010101011,0.297773427942256,8.440302444171,-8.440302444171,0.336432591142647,-0.019818938096403,0.020355231622837
16,"H",0,67.975,67.975,0,2,-11,-3,-14,15,18,-2,8,-1,-1,2,7,-6,0.115384615384615,0.089655172413793,0.05,0.101709401709402,-0.00580096691281398,0.03422619047619,0.03422619047619,0.305982905982906,23.538065465245,-23.538065465245,0.370940170940171,-0.168376068376068,0.134479382004134
5,"H",1,71.1125,63.2111111111111,0,3,0,1,-4,-2,-1,-4,-4,1,0,0,-2,-1,0.05,0.108771929824562,-0.053846153846154,0.058333333333333,0.000887831860788002,-0.090909090909091,-0.0909090909090909,-0.033333333333333,7.03111267358059,-7.03111267358059,-0.016666666666666,-0.066666666666667,0.037340224151919
10,"H",0,63.3125,63.3125,0,5,-2,-5,-6,5,7,1,8,0,1,-1,3,-5,0.102586975914362,-0.159090909090909,0,0.06140350877193,0.009805519616133,0.109009009009009,0.109009009009009,0.093666369313113,15.794669299111,-15.794669299111,0.131132917038359,-0.092179601546238,0.064258213227645
4,"A",0,71.9375,71.9375,0,-3,-16,-1,-11,11,19,2,12,-2,7,-3,2,-4,0.062920690664326,0.090277777777778,-0.0527950310559,0.067164179104478,0.0873702557828569,0.114285714285714,0.114285714285714,0.290605794556628,5.560382276281,-5.560382276281,0.480245829675154,-0.089259584430788,0.0748673475132279
10,"A",0,68.025,68.025,0,4,12,5,9,-3,-8,0,-2,0,-6,4,-1,3,-0.015255530129672,0.062352941176471,0.194202898550724,0.00877192982456099,-0.0807230767541693,-0.013157894736842,-0.013157894736842,-0.09534706331045,14.700477765527,-14.700477765527,-0.186117467581999,0.054157131960336,0.007798613969213
18,"A",0,66.2375,66.2375,0,9,11,2,6,-2,3,2,-4,-5,-10,4,0,2,0.064590163934426,-0.021164021164022,-0.198564593301435,0.0647540983606559,-0.135470578845982,-0.004201680672269,-0.004201680672269,-0.086885245901639,27.174938667673,-27.174938667673,-0.019344262295082,0.022622950819672,0.022846174525448
11,"A",0,76.925,76.925,0,4,12,-1,-8,4,6,11,1,-1,-3,1,-4,-5,-0.016447368421053,0.079185520361991,0.00384615384615394,-0.0390625,-0.04888789371548,0.167862266857963,0.167862266857963,0.020559210526316,14.299642508938,-14.299642508938,0.029605263157895,-0.189144736842105,-0.031507339778017
34,"A",0,68.575,68.575,0,18,5,7,3,-9,-14,0,17,8,2,3,4,6,0.260611205432937,0.267942583732057,-0.025,0.312110922467459,0.0254792750537902,0.120934959349594,0.120934959349594,-0.166383701188455,49.5807510025521,-49.5807510025521,-0.259762308998302,0.021505376344086,0.266246139693804
3,"A",0,69.5,69.5,0,4,0,1,2,-6,-2,-4,-3,1,-2,0,3,-4,0.067796610169492,0.00694444444444398,-0.235588972431078,0.076271186440678,-0.020285575538122,-0.097165991902834,-0.097165991902834,-0.101694915254237,4.3165467625897,-4.3165467625897,-0.033898305084746,0.033898305084746,0.029035974477435
17,"A",0,62.3125,62.3125,0,12,16,1,5,-8,-13,4,1,0,-4,0,0,2,0.085714285714286,-0.053140096618357,0.159090909090909,0.066071428571429,-0.075478017047024,0.111111111111111,0.111111111111111,-0.271428571428571,27.2818455366096,-27.2818455366096,-0.403571428571429,-0.039285714285714,0.0420484498556549
16,"H",0,62.8125,62.8125,0,8,0,-1,-11,1,7,1,5,3,-2,3,3,-2,0.142857142857142,0.113026819923372,-0.214285714285715,0.133928571428571,-0.029351002263312,0.053394858272907,0.053394858272907,0.017857142857143,25.4726368159207,-25.4726368159207,0.125,-0.196428571428572,0.099940514118899
22,"A",0,71.625,71.625,0,9,5,3,-5,1,-6,2,11,4,0,1,-1,3,0.119585687382297,0.182471264367816,0.361111111111111,0.138731952291274,-0.00555946527905302,0.105128205128205,0.105128205128205,0.00125549278091699,30.7155322862126,-30.7155322862126,-0.129943502824858,-0.130257376020088,0.154077665224853
3,"H",0,66.425,66.425,0,-1,-1,3,3,2,2,6,5,1,4,-4,3,-1,-0.011689291101056,0.107655502392344,0.022727272727273,0.018476621417798,0.043425453531405,0.165546218487395,0.165546218487394,0.04524886877828,4.5163718479488,-4.5163718479488,0.047511312217195,0.065987933634993,0.024436215639178
2,"H",0,74.5,74.5,0,0,4,-6,-8,8,16,5,-2,0,-5,5,1,-6,-0.027370478983382,-0.145882352941176,-0.047619047619047,-0.078201368523949,-0.069363710671273,0.092137592137592,0.092137592137592,0.114369501466275,2.68456375838929,-2.68456375838929,0.23069403714565,-0.145650048875855,-0.0673358653357199
18,"H",0,66.15,66.15,0,10,-1,8,5,-10,-4,-8,0,7,-6,2,9,0,0.172677595628415,0.321428571428571,-0.520833333333333,0.239890710382513,-0.0704026951299915,-0.178660049627792,-0.178660049627792,-0.162568306010929,27.2108843537418,-27.2108843537418,-0.062295081967213,0.087704918032787,0.157254682694996
13,"H",0,64.65,64.65,0,4,4,7,11,-2,-4,5,5,11,1,-5,0,3,0.036521739130435,0.115384615384615,0.0625,0.102173913043478,0.004008337341671,0.217391304347826,0.217391304347826,-0.059130434782609,20.108275328693,-20.108275328693,-0.107826086956522,0.197391304347826,0.093484552104826
14,"A",0,63.9625,63.9625,0,8,-6,2,3,-4,-1,-5,6,7,0,1,0,3,0.193633952254641,0.062200956937799,-0.295454545454545,0.21684350132626,0.014057911929364,-0.077838827838827,-0.077838827838827,-0.0590185676392568,21.8878248974009,-21.8878248974009,0.004641909814324,0.095490716180371,0.16939591644703
4,"A",1,69.625,61.8888888888889,0,0,-4,0,-4,4,2,-4,5,-2,3,-3,2,-5,0.03448275862069,0.062937062937063,0.169642857142857,0.040229885057471,0.038717252313199,-0.045054945054945,-0.0450549450549449,0.085568326947638,5.745062836625,-5.745062836625,0.054916985951468,-0.040868454661559,0.0600385693193121
18,"A",0,61.0625,61.0625,0,6,-4,3,2,3,1,-9,2,3,-4,4,2,1,0.129166666666667,0.112781954887218,0.303571428571429,0.157291666666667,-0.0453251347553775,-0.161793372319688,-0.161793372319688,0.054166666666667,29.477993858751,-29.477993858751,0.023958333333333,0.053125,0.168147536804464
6,"H",0,69.05,69.05,0,1,2,5,-3,-1,-2,2,-2,1,3,-3,2,0,0.00153846153846199,0.338235294117647,0.015479876160991,0.047692307692308,0.027846916135251,0.035897435897436,0.0358974358974361,-0.028461538461538,8.6893555394642,-8.6893555394642,-0.053076923076923,-0.073076923076923,0.0406099745077231
2,"A",0,67.4125,67.4125,0,0,-7,-4,-7,6,3,0,8,-1,7,0,-1,0,0.063859649122807,-0.070588235294118,0.3,0.0336842105263161,0.091177692965101,0.063348416289593,0.0633484162895921,0.134736842105263,2.96680882625651,-2.96680882625651,0.089473684210526,-0.098245614035088,0.068870206149948
1,"H",0,64.5625,64.5625,0,0,3,2,3,-1,-1,6,2,1,5,-2,0,-3,-0.018037518037518,0.069377990430622,-0.035714285714286,-0.00396825396825395,0.0585448959950904,0.125313283208021,0.125313283208021,-0.0194805194805194,1.5488867376573,-1.5488867376573,-0.020923520923521,0.031746031746031,-0.00887244623626898
4,"H",0,64.6625,64.6625,0,3,-15,-2,-15,0,-1,-14,2,4,0,3,2,-2,0.183333333333333,0.152709359605912,0.0307971014492759,0.183333333333333,0.031494151997335,-0.28937728937729,-0.28937728937729,0.094444444444445,6.18596559056699,-6.18596559056699,0.111111111111111,-0.172222222222222,0.165591046431984
7,"H",0,62.125,62.125,0,2,-3,1,-4,2,0,-6,-1,-3,-3,-1,6,-2,0.054782082324455,0.11484593837535,0.133333333333333,0.065980629539951,-0.024120759414877,-0.098915989159891,-0.0989159891598911,0.044794188861985,11.2676056338024,-11.2676056338024,0.01361985472155,-0.052360774818402,0.075928802710139
26,"H",0,69.3375,69.3375,0,10,0,-5,-15,11,13,2,12,4,-5,5,-2,-8,0.166666666666667,0.028571428571429,0.082608695652174,0.125,-0.065552102311292,0.133333333333333,0.133333333333333,0.183333333333333,37.497746529656,-37.497746529656,0.216666666666666,-0.25,0.141609155356071
33,"H",0,69.8625,69.8625,0,10,1,5,10,8,13,-1,3,3,-9,6,4,-3,0.166364186327889,0.05952380952381,-0.0303030303030309,0.208560193587416,-0.105620137945633,0.00900900900900897,0.00900900900900903,0.136116152450091,47.2356414385401,-47.2356414385401,0.221415607985481,0.166969147005444,0.196574555964546
9,"A",1,93.525,83.1333333333333,0,3,6,2,0,1,8,7,-1,6,-3,5,0,-1,0.00401785714285702,0.064516129032258,-0.130897009966778,0.0102678571428571,-0.040708754034783,0.121921921921922,0.121921921921922,-0.024553571428571,9.62309542903,-9.62309542903,0.067410714285714,-0.041517857142857,-0.016773504960426
4,"H",0,63.2375,63.2375,0,-1,-4,4,9,2,-3,1,6,-3,8,-8,6,-3,0.020604395604395,0.01131221719457,0.205741626794259,0.063873626373626,0.108432197984437,0.083333333333333,0.083333333333333,0.057692307692308,6.32536074322999,-6.32536074322999,-0.027472527472528,0.196428571428571,0.085617256493271
16,"H",0,71,71,0,5,-2,5,4,1,0,-9,-3,3,-8,7,2,-2,0.097849462365591,0.291666666666667,0.05,0.139784946236559,-0.080165130568356,-0.202302631578947,-0.202302631578947,0.023118279569893,22.5352112676054,-22.5352112676054,0.010752688172043,0.073118279569893,0.128590833626804
10,"H",0,66.45,66.45,0,0,-7,3,-3,7,12,0,5,2,-1,-2,2,-7,0.056491228070175,0.157407407407408,-0.098214285714286,0.0950877192982461,-0.007784400377325,0.040322580645161,0.040322580645161,0.171929824561404,15.0489089541005,-15.0489089541005,0.279298245614035,0.006315789473684,0.0894800424534991
7,"A",0,70.5,70.5,0,-3,-3,-1,-7,14,12,5,6,2,2,-2,-2,-3,-0.02814769975787,0.07962962962963,0.274725274725275,-0.0325363196125911,0.018007907400768,0.155971479500891,0.155971479500891,0.25726392251816,9.929078014185,-9.929078014185,0.226997578692494,-0.100484261501211,0.0289435842464439
7,"H",0,66.1375,66.1375,0,2,-7,4,3,-1,1,2,12,5,6,-4,1,-5,0.097714736012609,0.131578947368421,-0.068333333333333,0.149921197793538,0.081086994882654,0.148541114058355,0.148541114058355,0.025610717100079,10.5840105840102,-10.5840105840102,0.0874704491725771,0.116233254531127,0.113675763065116
9,"H",0,72.8625,72.8625,0,-1,-9,-3,-11,14,17,-1,4,-2,-3,1,1,-3,0.042166095890411,-0.00806451612903197,0.380952380952381,0.026434075342466,-0.0313041432119028,0.00555555555555601,0.00555555555555598,0.222602739726027,12.3520329387541,-12.3520329387541,0.279109589041096,-0.112157534246575,0.06530733348335
2,"A",1,76.5,68,0,9,-2,3,-6,-19,-22,-11,-2,5,-1,-1,-1,10,0.144711226476314,0.219230769230769,-0.297491039426524,0.168397144711226,0.006046620392961,-0.203807390817469,-0.203807390817469,-0.27363184079602,2.614379084967,-2.614379084967,-0.314947004109886,-0.078304131516332,0.094352753912102
13,"H",0,67.5875,67.5875,0,3,5,4,8,3,-1,10,10,4,6,-4,0,1,0.00571286636860402,0,0.571428571428571,0.03166915052161,0.058421695588316,0.32258064516129,0.32258064516129,0.0417287630402384,19.234325873867,-19.234325873867,-0.0238450074515651,0.103825136612022,0.056604236892753
6,"H",0,75.825,75.825,0,-7,-13,1,-2,19,22,2,5,0,5,0,0,-8,0.00543167524299604,0.084886128364389,0.138157894736842,0.031589479702687,0.057521496162245,0.095622119815668,0.0956221198156679,0.395654659805603,7.91295746785401,-7.91295746785401,0.47455688965123,0.047741566609491,0.0648989918306151
3,"H",0,65.1375,65.1375,0,-4,-11,0,-4,11,9,-6,2,2,2,3,2,-4,0.0363636363636359,0.089635854341737,0.224137931034483,0.054545454545454,0.039018714794478,-0.14027149321267,-0.140271493212669,0.295454545454545,4.605641911341,-4.605641911341,0.295454545454545,0.00454545454545402,0.092734780406482
7,"A",0,70.0875,70.0875,0,2,1,5,-1,-2,-1,-1,2,1,1,1,0,3,0.027882205513784,0.261904761904762,-0.0470085470085471,0.0709586466165409,0.009727180023058,-0.00375939849624002,-0.00375939849623996,-0.041666666666667,9.98751560549299,-9.98751560549299,-0.026002506265664,-0.024122807017544,0.046508875026811
8,"H",0,73.6125,73.6125,0,-1,-12,2,-5,8,9,-5,2,-2,2,0,-3,-5,0.094155844155844,0.171497584541063,0.0523809523809531,0.129058441558441,0.042414385534849,-0.127039627039627,-0.127039627039627,0.25487012987013,10.8677194769915,-10.8677194769915,0.306818181818182,-0.00162337662337697,0.137013792778185
40,"H",0,69.6,69.6,0,10,-9,7,-5,13,6,-1,23,7,6,-5,1,-7,0.257966101694915,0.42,0.562753036437247,0.33864406779661,0.078337851093283,0.195454545454545,0.195454545454545,0.275254237288136,57.4712643678159,-57.4712643678159,0.159661016949153,-0.023728813559322,0.378806156233657
6,"H",0,69,69,0,2,-1,6,4,-4,-10,-6,5,9,-2,6,2,4,0.040395480225989,0.262626262626262,0.186666666666667,0.09138418079096,-0.01230318097788,-0.075268817204301,-0.075268817204301,-0.062994350282486,8.6956521739132,-8.6956521739132,-0.162429378531074,0.072881355932203,0.084083175803402
11,"H",0,63.525,63.525,0,4,-1,6,9,-3,-2,0,5,7,2,1,1,0,0.083454281567489,0.178321678321678,-0.083333333333333,0.141690856313498,0.027985698853805,0.030165912518854,0.030165912518854,-0.052249637155297,17.3160173160176,-17.3160173160176,-0.031204644412192,0.177793904208998,0.104746490503716
3,"A",1,74.8125,66.5,0,4,7,0,1,-5,-5,4,2,0,0,0,1,4,0.033647798742139,-0.01,-0.116666666666667,0.027044025157233,-0.012386758312486,0.0873511060692,0.0873511060692,-0.111949685534592,4.01002506265669,-4.01002506265669,-0.127358490566038,-0.036163522012578,-0.00466294227188102
3,"A",0,61.1,61.1,0,1,-3,-2,-7,3,6,5,8,-3,5,1,-1,-3,0.048611111111111,0.00809716599190302,-0.012145748987854,0.0319444444444439,0.057398027766128,0.184848484848485,0.184848484848485,0.076388888888889,4.90998363338791,-4.90998363338791,0.151388888888889,-0.119444444444445,0.029123060197694
12,"A",0,69.6875,69.6875,0,-2,-5,1,-5,15,17,1,5,-2,0,-1,0,-6,0.00202429149797601,0.162393162393163,0.131336405529954,0.015013495276653,-0.00538300264154501,0.056511056511057,0.056511056511057,0.303643724696357,17.2197309417045,-17.2197309417045,0.350539811066127,-0.065789473684211,0.067838324105842
7,"H",0,71.325,71.325,0,0,-19,-3,-17,10,20,-1,11,0,7,-6,-1,-10,0.133802816901408,0.172727272727273,-0.111287758346582,0.117822318526544,0.0882602042081444,0.069444444444444,0.0694444444444441,0.254062838569881,9.8142306344202,-9.8142306344202,0.472101841820152,-0.213705308775731,0.109878537423308
4,"H",0,68.9,68.9,0,-1,-4,-2,-6,8,12,-7,-4,-5,-8,4,2,-8,0.00876569533286004,0,-0.0444444444444451,-0.00236910684671898,-0.0826803312346016,-0.134146341463415,-0.134146341463415,0.140251125325752,5.805515239477,-5.805515239477,0.207533759772566,-0.06680881307747,0.014821192591974
17,"A",0,68.9125,68.9125,0,2,-1,8,0,5,7,-1,1,3,-3,2,0,-4,0.041496201052017,0.363636363636364,0.005882352941177,0.110753945061368,-0.037671641459753,-0.016450216450217,-0.0164502164502169,0.088252483927528,24.6689642662792,-24.6689642662792,0.123611922852133,0.00642898889538301,0.11291090783646
9,"H",0,70.6625,70.6625,0,4,-2,-2,-6,3,7,0,6,6,-3,4,3,-3,0.083908045977012,0.012903225806452,-0.122222222222222,0.070114942528736,-0.033078169125131,0.066666666666667,0.066666666666667,0.062068965517241,12.736600035379,-12.736600035379,0.132183908045977,-0.0856321839080461,0.052500463448514
8,"H",0,71.95,71.95,0,-2,-2,3,10,9,10,-4,-6,5,-11,8,-5,-4,-0.018465909090909,-0.00544464609800399,0.159041394335512,0.00639204545454503,-0.119454724582353,-0.107142857142857,-0.107142857142857,0.144412878787879,11.1188325225854,-11.1188325225854,0.164299242424242,0.165246212121212,0.035636391512239
9,"A",0,65.075,65.075,0,5,-5,3,1,-4,-8,-6,5,5,3,-3,3,3,0.141818181818182,0.154411764705882,0.102564102564102,0.177272727272727,0.054316566141368,-0.132142857142857,-0.132142857142857,-0.054545454545455,13.830195927776,-13.830195927776,-0.121818181818182,0.049090909090909,0.159669093227291
16,"A",0,72.7625,72.7625,0,7,0,1,-6,1,-1,-3,3,9,-2,2,1,-1,0.127272727272727,0.142857142857143,0.0868421052631579,0.136363636363636,-0.019529174539244,-0.056157635467981,-0.056157635467981,0.018181818181819,21.989348909122,-21.989348909122,-0.018181818181819,-0.109090909090909,0.128804458045398
2,"H",0,71.1375,71.1375,0,-2,5,0,1,6,3,7,2,1,1,-3,1,-3,-0.0899470899470899,-0.018333333333333,0.150501672240803,-0.100340136054422,-0.00499169230066202,0.213333333333333,0.213333333333333,0.080876795162509,2.81145668599601,-2.81145668599601,0.01209372637944,-0.026832955404384,-0.05198975483987
4,"A",0,65.1,65.1,0,5,1,2,1,-8,-12,-3,2,-2,3,-4,-1,8,0.0831649831649831,0.134615384615385,0.0727272727272731,0.100841750841751,0.043835969790223,-0.053030303030303,-0.053030303030303,-0.150841750841751,6.14439324116719,-6.14439324116719,-0.225589225589225,0.014141414141414,0.0731389841952019
14,"H",0,70.7125,70.7125,0,1,-1,-1,-2,13,19,6,5,10,-2,1,3,-6,0.026936026936026,-0.019230769230769,0.112903225806452,0.018855218855219,-0.037797985387664,0.178030303030303,0.178030303030303,0.242760942760943,19.7984797595895,-19.7984797595895,0.355892255892256,-0.028282828282829,0.041258076173274
1,"A",0,70.0625,70.0625,0,-1,-7,5,-2,-2,1,2,9,-8,7,-8,-1,0,0.053684210526316,0.364705882352941,-0.097883597883598,0.10859649122807,0.0937866251559709,0.115,0.115,0.00912280701754398,1.42729705619999,-1.42729705619999,0.0863157894736841,0.00175438596491201,0.069902243761062
22,"H",0,64.25,64.25,0,8,10,4,11,2,0,-2,-2,4,-11,7,0,3,0.067033254778738,0.041025641025641,0.2,0.091647028017805,-0.141273320075219,-0.052631578947368,-0.052631578947368,0.00890285415030201,34.2412451361872,-34.2412451361872,-0.026184865147944,0.124901806755695,0.094626810929764
9,"A",0,66.5,66.5,0,-1,3,3,1,8,12,6,2,-1,-1,0,-3,-4,-0.048665620094191,0.103333333333333,0.0109890109890109,-0.025706436420722,-0.034177714064974,0.15625,0.15625,0.143249607535322,13.533834586466,-13.533834586466,0.214285714285714,-0.00902668759811598,-0.013885485583599
8,"H",0,70.125,70.125,0,7,0,3,7,-9,-6,-6,-1,4,-2,-1,2,0,0.125,0,-0.277777777777777,0.151785714285714,-0.014227830380859,-0.147619047619047,-0.147619047619047,-0.160714285714286,11.408199643494,-11.408199643494,-0.107142857142857,0.125,0.089159836142752
8,"N",0,75.35,75.35,0,3,-11,2,-11,0,6,-10,1,1,-1,2,0,-4,0.158424908424909,0.328703703703704,-0.197901049475263,0.191086691086691,0.00537926283889098,-0.272727272727273,-0.272727272727273,0.073870573870574,10.617120106171,-10.617120106171,0.192612942612943,-0.120879120879121,0.136238832874649
10,"H",0,63.9375,63.9375,0,6,-3,-5,-10,3,5,0,8,4,1,1,1,0,0.129780564263323,-0.178571428571429,-0.133333333333333,0.087147335423197,0.013842389904712,0.055555555555556,0.055555555555556,0.063949843260188,15.64027370479,-15.64027370479,0.100313479623825,-0.159247648902821,0.085292632287751
18,"H",0,68,68,0,8,6,5,3,-3,-8,1,5,12,-2,-2,3,0,0.108090185676393,0.214705882352941,0.145833333333333,0.147214854111406,-0.027387998125308,0.048121292023731,0.0481212920237309,-0.083554376657825,26.4705882352941,-26.4705882352941,-0.185676392572945,0.01790450928382,0.123970916365315
7,"H",0,69.7375,69.7375,0,4,-2,-1,3,0,-3,-10,-3,-2,-4,1,4,-3,0.083912197832731,-0.120588235294118,0.100478468899522,0.077660461239233,-0.036062524332739,-0.221561969439729,-0.221561969439729,0.007779938871909,10.037641154329,-10.037641154329,-0.038621839399833,0.060294526257294,0.079638732415557
1,"H",1,76.75,68.2222222222222,0,-3,-10,0,-3,7,6,-6,2,5,-3,6,-3,-3,0.00714285714285695,0.044117647058824,0.117845117845118,0.013095238095238,-0.016134463213423,-0.069243156199678,-0.069243156199678,0.15,1.3029315960912,-1.3029315960912,0.164285714285714,-0.00238095238095298,0.0448224755747419
8,"A",0,71.625,71.625,0,6,-10,2,-9,-6,-10,-5,13,2,8,-2,1,4,0.152777777777778,0.157407407407407,-0.05,0.178987455197133,0.105891413169041,-0.014705882352941,-0.014705882352941,-0.0721326164874554,11.1692844677134,-11.1692844677134,-0.116487455197133,-0.064516129032258,0.154821810160612
3,"H",0,59.4875,59.4875,0,-1,9,1,6,4,3,4,-6,1,-6,4,0,-5,-0.103343465045592,-0.039772727272727,0.166666666666666,-0.102963525835866,-0.101417656417377,0.068627450980392,0.068627450980392,0.050911854103344,5.04307627652899,-5.04307627652899,0.022796352583586,0.052431610942249,-0.076193215627117
10,"H",0,71.3625,71.3625,0,3,-3,-5,-20,9,11,11,16,-3,8,-3,-2,-1,0.062686567164179,0.128205128205129,0.114285714285714,0.028891257995735,0.0827022931962832,0.305361305361305,0.305361305361305,0.138166311300639,14.012961989841,-14.012961989841,0.170575692963753,-0.277398720682302,0.0508417687626069
